agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
alice,1,28546103,161,0.1062,0.959,4.4969,0.2054,,,2226,1348
alice,1,28546103,162,0.0943,1.0271,4.5738,0.204,,,2257,1296
alice,1,28546103,163,0.1344,1.0099,4.5055,0.2026,,,2307,1195
alice,1,28546103,164,0.2208,1.558,2.6434,0.2013,,,2224,1480
alice,1,28546103,165,0.1049,1.3658,2.8398,0.1999,,,1513,3352
alice,1,28546103,166,0.11,1.3255,4.0074,0.1986,,,2090,1879
alice,1,28546103,167,0.1171,1.2836,4.1508,0.1973,,,2176,1608
alice,1,28546103,168,0.0998,1.3006,3.9199,0.196,,,2100,1845
alice,1,28546103,169,0.1151,1.4702,4.0184,0.1948,,,2244,1453
alice,1,28546103,170,0.1269,1.4912,3.9125,0.1935,,,2196,1481
alice,1,28546103,171,0.1137,1.4011,4.2266,0.1923,,,2319,1249
alice,1,28546103,172,0.1351,1.3893,4.2473,0.191,,,2329,1201
alice,1,28546103,173,0.112,1.4543,4.1773,0.1898,,,2284,1280
alice,1,28546103,174,0.1122,1.5573,4.0258,0.1887,,,2199,1472
alice,1,28546103,175,0.105,1.5815,3.8461,0.1875,,,2220,1506
alice,1,28546103,176,0.098,1.5063,4.0449,0.1863,,,2245,1448
alice,1,28546103,177,0.1272,1.4552,4.2023,0.1852,,,2330,1293
alice,1,28546103,178,0.1039,1.445,4.3457,0.1841,,,2318,1145
alice,1,28546103,179,0.1276,1.3757,4.4227,0.1829,,,2372,1019
alice,1,28546103,180,0.1497,1.3932,4.3902,0.1818,,,2398,945
alice,1,28546580,181,0.1574,0.8031,4.7828,0.1808,,,2407,826
alice,1,28546580,182,0.0973,0.9623,4.5953,0.1797,,,2411,924
alice,1,28546580,183,0.1289,1.0784,4.4375,0.1786,,,2298,1266
alice,1,28546580,184,0.1559,1.7486,2.5797,0.1776,,,2364,1080
alice,1,28546580,185,0.0949,1.2508,4.257,0.1766,,,2297,1302
alice,1,28546580,186,0.0859,1.3401,3.8375,0.1756,,,2090,1792
alice,1,28546580,187,0.0881,1.4795,3.5187,0.1746,,,1908,2323
