agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,abc_coef,sr,valid_goals,invalid_goals,avg_xy,max_xy,avg_z,ik_fail_rate,not_moved_frac
alice,0,28830260,112,0.0335,0.6279,4.1322,0.2637,,,,359,394,0.148,1.23,0.014,0.036,0.49667994687915007
alice,0,28830260,113,0.049,0.5512,3.4773,0.2609,,,,362,446,0.144,1.206,0.014,0.037,0.5160891089108911
alice,0,28830260,114,0.0482,0.5124,3.7792,0.2581,,,,367,442,0.145,1.262,0.014,0.029,0.511742892459827
alice,0,28830260,115,0.0636,0.5546,3.5915,0.2553,,,,374,400,0.158,1.137,0.014,0.037,0.4702842377260982
alice,0,28830260,116,0.0603,0.5291,3.2994,0.2526,,,,380,413,0.153,1.122,0.015,0.03,0.47540983606557374
alice,0,28830260,117,0.0447,0.5113,3.4636,0.2499,,,,374,402,0.155,1.174,0.014,0.035,0.48711340206185566
alice,0,28830260,118,0.0465,0.5224,3.8344,0.2473,,,,356,416,0.154,1.115,0.014,0.039,0.5012953367875648
alice,0,28830260,119,0.0505,0.4835,3.4452,0.2447,,,,369,449,0.149,1.207,0.013,0.032,0.5146699266503667
alice,0,28830260,120,0.0623,0.5275,3.3205,0.2421,,,,375,412,0.155,1.218,0.014,0.036,0.4777636594663278
alice,0,28830260,121,0.0523,0.5343,4.2183,0.2396,,,,379,400,0.157,1.171,0.014,0.04,0.4621309370988447
alice,0,28830260,122,0.0488,0.4957,3.3103,0.2371,,,,357,414,0.143,1.336,0.014,0.034,0.49286640726329445
alice,0,28830260,123,0.0565,0.5245,3.9932,0.2346,,,,371,409,0.15,1.154,0.015,0.036,0.47435897435897434
alice,0,28830260,124,0.0416,0.518,4.137,0.2321,,,,354,480,0.137,1.22,0.014,0.035,0.5371702637889688
alice,0,28830260,125,0.0589,0.6198,3.7191,0.2297,,,,367,409,0.146,1.094,0.014,0.042,0.5051546391752577
alice,0,28830260,126,0.0644,0.5326,2.9341,0.2274,,,,379,409,0.15,1.081,0.015,0.04,0.4733502538071066
alice,0,28830260,127,0.0732,0.5376,3.3913,0.225,,,,369,408,0.147,1.313,0.014,0.031,0.4929214929214929
alice,0,28830260,128,0.0658,0.5785,3.568,0.2227,,,,377,387,0.159,1.05,0.014,0.035,0.46465968586387435
alice,0,28830260,129,0.0694,0.5192,3.7248,0.2204,,,,395,389,0.165,1.055,0.014,0.039,0.44642857142857145
alice,0,28830260,130,0.045,0.5128,3.1034,0.2182,,,,370,403,0.147,1.349,0.014,0.035,0.4890038809831824
alice,0,28830260,131,0.0487,0.5922,3.3801,0.2159,,,,390,349,0.175,1.223,0.014,0.041,0.4248985115020298
alice,0,28830260,132,0.0594,0.6062,3.7778,0.2137,,,,375,371,0.163,1.233,0.014,0.041,0.4584450402144772
alice,0,28830260,133,0.0774,0.5373,3.4753,0.2116,,,,396,383,0.158,1.118,0.015,0.036,0.4557124518613607
alice,0,28830260,134,0.0545,0.5917,3.6646,0.2094,,,,373,360,0.166,0.962,0.014,0.034,0.43383356070941337
alice,0,28830260,135,0.0636,0.5484,3.8981,0.2073,,,,380,388,0.165,1.533,0.014,0.033,0.4609375
alice,0,28830260,136,0.081,0.5654,3.6226,0.2052,,,,381,394,0.163,1.053,0.014,0.04,0.47870967741935483
alice,0,28830260,137,0.0531,0.6018,3.5562,0.2032,,,,380,366,0.174,1.213,0.014,0.04,0.43699731903485256
alice,0,28830260,138,0.0667,0.5364,3.4843,0.2012,,,,369,410,0.152,1.298,0.014,0.04,0.4942233632862644
alice,0,28830260,139,0.0632,0.602,3.7345,0.1992,,,,396,354,0.178,1.412,0.016,0.036,0.43333333333333335
alice,0,28830260,140,0.0679,0.5886,3.7427,0.1972,,,,381,359,0.169,1.126,0.013,0.031,0.44594594594594594
alice,0,28830260,141,0.0625,0.5557,3.355,0.1952,,,,396,366,0.161,1.361,0.014,0.037,0.43832020997375326
alice,0,28830260,142,0.0599,0.5253,3.634,0.1933,,,,365,401,0.162,1.269,0.013,0.044,0.4908616187989556
alice,0,28830260,143,0.0746,0.6378,3.4579,0.1914,,,,396,349,0.17,1.244,0.014,0.041,0.42953020134228187
alice,0,28830260,144,0.0733,0.5348,3.9054,0.1895,,,,376,389,0.162,1.353,0.014,0.037,0.47058823529411764
alice,0,28830260,145,0.0646,0.5298,3.673,0.1877,,,,380,394,0.157,1.108,0.013,0.039,0.46770025839793283
alice,0,28830260,146,0.0636,0.6658,4.1117,0.1859,,,,382,346,0.172,0.963,0.014,0.04,0.4381868131868132
alice,0,28830260,147,0.0727,0.5405,3.8038,0.1841,,,,373,428,0.16,1.308,0.014,0.036,0.48813982521847693
alice,0,28830260,148,0.0637,0.6397,4.226,0.1823,,,,404,336,0.181,1.155,0.014,0.037,0.41486486486486485
alice,0,28830260,149,0.0563,0.5684,3.4356,0.1806,,,,387,394,0.163,1.233,0.013,0.039,0.46094750320102434
alice,0,28830260,150,0.0544,0.6078,3.8813,0.1788,,,,394,335,0.183,1.141,0.014,0.041,0.40054869684499317
alice,0,28830260,151,0.0977,0.6016,3.1154,0.1771,,,,410,317,0.187,1.345,0.014,0.047,0.3947730398899587
alice,0,28830260,152,0.0687,0.5926,3.0517,0.1754,,,,396,321,0.187,0.979,0.015,0.039,0.40585774058577406
alice,0,28830260,153,0.0665,0.6341,3.4859,0.1738,,,,385,342,0.178,1.241,0.014,0.042,0.4264099037138927
alice,0,28830260,154,0.0825,0.6341,3.5217,0.1721,,,,404,317,0.187,1.385,0.014,0.038,0.4133148404993065
alice,0,28830260,155,0.0832,0.637,3.7222,0.1705,,,,395,319,0.19,1.261,0.014,0.039,0.41456582633053224
alice,0,28830260,156,0.0644,0.5996,3.7588,0.1689,,,,369,394,0.165,1.308,0.014,0.043,0.4639580602883355
alice,0,28830260,157,0.0965,0.6023,3.6429,0.1674,,,,405,344,0.175,1.359,0.015,0.038,0.4392523364485981
alice,0,28830260,158,0.0902,0.5595,3.5963,0.1658,,,,414,341,0.191,1.286,0.014,0.034,0.41324503311258276
alice,0,28830260,159,0.0955,0.584,2.7159,0.1643,,,,407,307,0.199,1.041,0.014,0.046,0.3865546218487395
alice,0,28830260,160,0.066,0.6248,3.5517,0.1628,,,,374,330,0.173,1.018,0.013,0.037,0.4303977272727273
alice,0,28830260,161,0.0592,0.6335,3.0644,0.1613,,,,393,349,0.18,1.285,0.014,0.034,0.4272237196765499
alice,0,28830260,162,0.1118,0.7018,3.6853,0.1598,,,,416,282,0.206,1.246,0.014,0.039,0.3653295128939828
alice,0,28830260,163,0.0965,0.6145,3.5359,0.1583,,,,402,317,0.181,1.303,0.014,0.032,0.38386648122392214
alice,0,28830260,164,0.0864,0.6411,3.4348,0.1569,,,,404,309,0.176,0.978,0.015,0.042,0.3884992987377279
alice,0,28830260,165,0.0778,0.6355,3.72,0.1555,,,,421,291,0.203,1.166,0.015,0.034,0.37219101123595505
alice,0,28830260,166,0.0788,0.5396,2.7262,0.1541,,,,401,314,0.198,1.342,0.014,0.031,0.4013986013986014
alice,0,28830260,167,0.0936,0.6065,3.497,0.1527,,,,437,249,0.227,1.192,0.014,0.045,0.3236151603498542
alice,0,28830260,168,0.0681,0.5925,3.0552,0.1514,,,,404,272,0.2,1.146,0.013,0.038,0.3683431952662722
alice,0,28830260,169,0.0816,0.7008,2.9497,0.15,,,,432,238,0.219,1.071,0.013,0.038,0.3164179104477612
alice,0,28830260,170,0.0754,0.6546,3.7544,0.1487,,,,421,252,0.226,1.309,0.014,0.035,0.3328380386329866
alice,0,28830260,171,0.0975,0.6799,3.5882,0.1474,,,,414,270,0.212,1.191,0.014,0.041,0.34649122807017546
alice,0,28830260,172,0.0906,0.5916,3.7658,0.1461,,,,390,327,0.182,1.308,0.014,0.04,0.4072524407252441
alice,0,28830260,173,0.0865,0.5233,3.0745,0.1448,,,,388,390,0.16,1.163,0.014,0.032,0.4498714652956298
alice,0,28830260,174,0.0803,0.6247,3.212,0.1436,,,,414,291,0.192,1.044,0.014,0.036,0.3588652482269504
alice,0,28830260,175,0.1209,0.5868,2.8287,0.1423,,,,394,319,0.185,0.981,0.014,0.029,0.4109396914446003
alice,0,28830260,176,0.0952,0.6238,3.3409,0.1411,,,,417,291,0.192,1.234,0.013,0.035,0.3742937853107345
alice,0,28830260,177,0.1106,0.5903,3.6375,0.1399,,,,399,294,0.202,1.444,0.015,0.038,0.38672438672438675
alice,0,28830260,178,0.0967,0.636,3.4056,0.1387,,,,411,295,0.194,1.039,0.015,0.039,0.38243626062322944
