#{"t_start": 1764779049.909711, "env_id": "None"}
r,l,t
-52.781551,1,2826.045206
-60.0,1,2837.061234
-60.0,1,2843.151812
-60.0,1,2850.49123
-60.0,1,2861.4366
-60.0,1,2872.43442
-60.0,1,2883.313463
-52.914884,1,2894.203513
-60.0,1,2904.904005
-60.0,1,2911.486867
-52.381551,1,2922.387271
-60.0,1,2933.308845
-60.0,1,2942.466151
-60.0,1,2950.728304
-60.0,1,2958.347067
-60.094635,1,2969.19109
-36.814884,1,2977.004232
-60.0,1,2987.906886
-60.054927,1,2995.870409
-60.0,1,3003.701601
-60.0,1,3014.455446
-60.005002,1,3020.778242
-60.0,1,3031.559208
-60.0,1,3042.273864
-60.0,1,3049.381183
-51.998218,1,3060.407114
-60.0,1,3071.333807
-60.0,1,3082.075733
-60.070174,1,3088.159872
-60.0,1,3099.020913
-60.0,1,3109.814469
-60.0,1,3120.830217
-60.0,1,3131.608262
-60.0,1,3137.761734
-60.0,1,3145.293195
-60.0,1,3156.122873
-60.0,1,3162.119456
-60.0,1,3168.258111
-60.0,1,3176.642045
-60.053265,1,3182.718543
-60.0,1,3188.924932
-60.0,1,3200.526551
-60.0,1,3212.5774
-60.0,1,3219.922338
-60.0,1,3233.043724
-60.0,1,3244.859426
-60.0,1,3250.996563
-52.798218,1,3261.900498
-60.0,1,3273.035861
-60.01512,1,3280.366765
