pushes,success,goal_x,goal_y,goal_z,goal_yaw,final_x,final_y,final_z,err_pos,err_rot
3,False,0.395,0.314,0.02,2.519,0.072,0.467,0.0,0.358,0.042
3,False,-0.099,0.488,0.02,5.085,0.243,0.574,0.0,0.353,1.796
3,False,-0.244,0.664,0.02,3.582,-0.0,0.5,-0.0,0.294,0.44
3,False,-0.159,0.644,0.02,0.019,0.065,0.201,0.0,0.496,2.144
3,False,0.015,0.405,0.02,4.357,-0.113,0.523,0.0,0.175,2.076
3,False,-0.335,0.596,0.02,3.168,-0.029,0.453,0.0,0.339,0.703
3,False,0.057,0.412,0.02,5.084,-0.0,0.5,0.0,0.107,1.94
3,False,-0.308,0.486,0.02,5.458,-0.0,0.5,0.0,0.309,2.314
3,False,0.056,0.59,0.02,0.08,-0.034,0.525,0.069,0.121,1.577
3,False,-0.355,0.315,0.02,6.253,0.24,0.369,0.0,0.598,2.732
3,False,-0.3,0.549,0.02,5.168,0.014,0.504,0.0,0.318,2.02
3,False,-0.357,0.63,0.02,0.561,0.033,0.352,0.0,0.479,2.349
3,False,-0.043,0.538,0.02,3.455,0.0,0.5,-0.0,0.061,0.312
3,False,-0.086,0.556,0.02,0.502,-0.271,0.285,0.0,0.329,3.067
3,False,0.017,0.379,0.02,1.963,0.0,0.5,0.0,0.124,1.179
3,False,0.164,0.578,0.02,5.156,-0.15,0.372,0.098,0.383,2.653
3,False,0.021,0.511,0.02,1.861,-0.002,0.511,0.0,0.03,1.049
3,False,-0.054,0.437,0.02,2.358,-0.015,0.472,0.0,0.056,1.1
3,False,0.304,0.652,0.02,1.478,0.015,0.56,0.0,0.304,2.231
3,True,-0.037,0.409,0.02,1.898,-0.038,0.376,0.0,0.038,0.028
3,False,-0.159,0.428,0.02,0.641,0.273,0.371,0.0,0.436,2.487
3,False,0.019,0.603,0.02,2.492,0.065,0.463,0.0,0.148,0.142
3,False,-0.211,0.352,0.02,3.701,-0.052,0.504,0.0,0.222,0.893
3,False,0.071,0.469,0.02,1.48,0.029,0.454,0.0,0.049,0.877
3,False,0.267,0.478,0.02,4.36,-0.001,0.5,0.0,0.269,1.218
3,False,0.326,0.695,0.02,1.466,-0.0,0.5,-0.0,0.381,1.677
3,False,-0.166,0.687,0.02,4.447,-0.019,0.432,-0.0,0.294,1.912
3,False,0.323,0.528,0.02,3.655,-0.0,0.5,-0.0,0.325,0.513
3,False,0.118,0.636,0.02,5.59,-0.052,0.543,0.0,0.195,1.544
3,False,0.16,0.386,0.02,2.535,0.005,0.518,0.0,0.205,0.69
3,False,-0.286,0.586,0.02,4.459,0.255,0.602,0.0,0.541,1.99
3,False,0.112,0.316,0.02,1.968,0.125,0.446,0.0,0.132,0.206
3,False,-0.352,0.569,0.02,4.671,0.0,0.5,0.0,0.359,1.529
3,False,0.221,0.581,0.02,5.936,-0.0,0.5,0.0,0.236,2.792
3,False,0.215,0.344,0.02,3.408,-0.006,0.516,0.0,0.281,0.668
3,False,0.377,0.32,0.02,5.752,-0.048,0.474,0.0,0.453,2.728
3,False,0.359,0.426,0.02,1.025,-0.019,0.578,0.0,0.408,2.999
3,False,0.326,0.421,0.02,0.446,0.059,0.362,0.0,0.275,1.465
3,False,-0.116,0.365,0.02,3.352,0.117,0.507,0.0,0.274,0.111
3,False,-0.258,0.385,0.02,2.76,-0.0,0.5,0.0,0.283,0.385
3,False,-0.198,0.382,0.02,6.257,0.039,0.268,0.0,0.263,2.829
3,False,0.139,0.39,0.02,3.251,0.358,0.215,0.0,0.281,1.186
3,False,-0.287,0.639,0.02,2.918,-0.06,0.486,0.06,0.276,1.571
3,False,-0.245,0.553,0.02,4.015,-0.087,0.352,0.0,0.256,2.53
3,False,-0.139,0.55,0.02,2.992,0.076,0.628,-0.0,0.23,0.418
3,False,0.134,0.405,0.02,5.453,0.0,0.5,0.0,0.166,2.311
3,False,0.349,0.386,0.02,2.169,0.0,0.5,0.0,0.367,0.973
3,False,0.132,0.441,0.02,3.317,-0.0,0.5,0.0,0.146,0.173
3,False,0.304,0.436,0.02,0.942,0.124,0.473,0.0,0.185,1.7
3,False,0.121,0.454,0.02,3.839,-0.006,0.652,0.0,0.236,0.452
3,False,-0.01,0.545,0.02,0.4,0.023,0.448,0.0,0.105,2.199
3,False,-0.066,0.669,0.02,3.337,-0.0,0.5,-0.0,0.183,0.195
3,False,-0.121,0.544,0.02,2.986,-0.0,0.5,0.0,0.13,0.158
3,False,0.15,0.682,0.02,3.144,-0.018,0.453,0.0,0.285,0.098
3,False,-0.224,0.535,0.02,1.347,-0.0,0.5,0.0,0.228,1.797
3,False,-0.226,0.581,0.02,0.903,-0.166,0.232,0.0,0.355,2.293
3,False,-0.36,0.639,0.02,1.591,0.075,0.396,0.0,0.499,3.05
3,False,-0.297,0.634,0.02,4.808,-0.0,0.5,-0.0,0.327,1.666
3,False,-0.142,0.507,0.02,6.061,0.012,0.442,0.0,0.168,2.752
3,False,0.089,0.534,0.02,0.024,0.204,0.416,-0.0,0.166,0.888
3,False,0.135,0.452,0.02,3.607,-0.122,0.441,0.0,0.258,0.293
3,False,-0.239,0.485,0.02,5.434,0.003,0.487,0.0,0.243,2.454
3,False,-0.284,0.598,0.02,1.208,-0.023,0.449,0.0,0.301,2.289
3,False,0.399,0.545,0.02,2.327,0.102,0.359,0.0,0.351,2.776
3,False,0.272,0.409,0.02,1.416,0.003,0.498,-0.0,0.283,1.677
3,False,-0.007,0.447,0.02,3.596,0.09,0.663,0.0,0.238,0.422
3,False,0.204,0.402,0.02,1.777,-0.018,0.611,0.0,0.305,2.508
3,False,-0.142,0.642,0.02,0.588,0.09,0.29,0.0,0.422,3.117
3,False,-0.298,0.523,0.02,4.999,0.27,0.565,-0.0,0.57,1.794
3,False,-0.3,0.582,0.02,4.217,0.127,0.5,0.0,0.435,1.07
3,False,-0.192,0.51,0.02,3.827,0.133,0.514,0.0,0.326,0.033
3,False,0.051,0.529,0.02,4.943,0.005,0.511,0.0,0.054,1.905
3,False,0.126,0.355,0.02,3.041,0.008,0.385,-0.0,0.124,1.452
3,False,-0.352,0.38,0.02,4.359,0.164,0.539,0.0,0.54,1.778
3,False,0.203,0.636,0.02,5.469,-0.0,0.5,0.0,0.245,2.326
3,False,0.291,0.446,0.02,1.652,-0.021,0.46,0.0,0.312,2.334
3,False,-0.071,0.487,0.02,2.83,-0.0,0.5,0.0,0.075,0.315
3,False,-0.228,0.683,0.02,3.031,-0.258,0.579,0.0,0.11,0.445
3,False,0.389,0.398,0.02,4.576,0.0,0.5,0.0,0.403,1.434
3,False,0.249,0.641,0.02,1.677,0.023,0.494,0.0,0.27,1.732
3,False,0.267,0.376,0.02,3.978,-0.041,0.525,-0.0,0.343,0.777
3,False,0.183,0.505,0.02,5.85,-0.252,0.706,0.0,0.48,3.11
3,False,0.345,0.335,0.02,3.104,0.177,0.421,0.0,0.189,1.202
3,False,-0.207,0.305,0.02,5.408,-0.024,0.497,-0.0,0.267,2.533
3,False,0.221,0.64,0.02,4.691,0.005,0.525,0.0,0.246,1.252
3,False,0.393,0.61,0.02,0.73,-0.0,0.5,0.0,0.408,2.415
3,False,-0.108,0.581,0.02,2.116,0.013,0.5,-0.0,0.147,2.579
3,False,-0.147,0.646,0.02,2.545,0.164,0.377,0.0,0.412,0.843
3,False,0.053,0.316,0.02,5.643,-0.113,0.402,0.0,0.188,2.604
3,False,-0.244,0.424,0.02,4.183,-0.131,0.557,0.0,0.176,1.024
3,False,-0.039,0.578,0.02,3.135,0.0,0.5,0.0,0.089,0.006
3,False,0.218,0.572,0.02,2.394,-0.082,0.411,0.0,0.341,0.084
3,False,0.055,0.58,0.02,0.636,-0.0,0.5,-0.0,0.099,2.507
3,False,0.324,0.471,0.02,1.821,0.012,0.467,0.0,0.313,0.997
3,False,-0.166,0.473,0.02,5.119,0.004,0.505,0.0,0.174,2.166
3,False,-0.153,0.317,0.02,2.212,-0.071,0.589,0.0,0.285,2.408
3,False,0.235,0.656,0.02,3.963,0.221,0.406,0.044,0.252,0.672
3,False,0.151,0.319,0.02,2.623,0.009,0.498,0.0,0.23,0.455
3,False,0.014,0.663,0.02,0.086,0.051,0.592,0.0,0.082,1.319
3,False,0.171,0.674,0.02,5.891,0.117,0.548,0.0,0.139,1.062
3,False,-0.385,0.38,0.02,3.472,-0.003,0.481,-0.0,0.395,0.577
3,False,-0.098,0.342,0.02,6.082,0.007,0.216,0.0,0.165,3.015
3,False,0.175,0.664,0.02,1.185,0.009,0.497,0.0,0.237,2.124
3,False,-0.055,0.419,0.02,5.599,0.288,0.21,0.0,0.402,2.849
3,False,-0.185,0.459,0.02,2.921,0.212,0.288,0.0,0.433,0.225
3,False,-0.101,0.59,0.02,2.895,0.021,0.508,0.0,0.148,0.234
3,False,0.077,0.342,0.02,1.267,0.022,0.533,-0.0,0.199,2.292
3,False,-0.052,0.373,0.02,3.488,-0.0,0.5,0.0,0.139,0.343
3,False,-0.183,0.407,0.02,2.513,-0.063,0.46,0.0,0.133,0.141
3,False,0.299,0.633,0.02,0.93,0.013,0.503,-0.0,0.315,2.055
3,False,-0.166,0.375,0.02,0.838,0.0,0.5,0.0,0.209,2.304
3,False,-0.004,0.343,0.02,4.712,-0.0,0.5,0.0,0.159,1.567
3,False,0.29,0.403,0.02,6.163,0.053,0.529,0.0,0.269,2.635
3,False,0.11,0.437,0.02,1.958,-0.0,0.5,-0.0,0.129,1.185
3,False,0.019,0.556,0.02,2.125,0.173,0.322,0.0,0.281,1.413
3,False,0.299,0.612,0.02,5.422,-0.0,0.5,-0.0,0.32,2.28
3,False,-0.214,0.609,0.02,4.364,0.039,0.518,0.0,0.27,1.418
2,False,-0.128,0.515,0.02,2.771,-0.018,0.377,0.06,0.181,1.571
